user_id,subject,topic_name,rating,timestamp
user_1,ICT,Unit 8 Safety and Security,4,1755302429
user_1,Business,Chapter 16 Marketing Strategy,3,1755269216
user_1,Business,Chapter 13 The Marketing Mix,1,1755422586
user_1,Biology,Unit 3 Movement in and out of cells,2,1755636804
user_1,Business,Chapter 23 Income Statements,4,1755710187
user_1,Business,Chapter 20 Location Decisions,1,1755798850
user_1,Chemistry,Unit 17 Organic chemistry and petrochemicals,2,1756007941
user_1,Biology,Unit 7 Animal Nutrition,5,1756006247
user_1,Business,Chapter 21 Business Finance - Needs and Sources,3,1755436298
user_1,Business,Chapter 7 Organisation and management,3,1755210281
user_1,ICT,Unit 2 Input and Output Devices,4,1755572344
user_1,Chemistry,"Unit 2 Atoms, Elements and Compounds",4,1755444216
user_1,Chemistry,Unit 11 Making and identifying salts,1,1755932219
user_1,Biology,Unit 8 Plant Transport,5,1755837611
user_1,Chemistry,Unit 20 Natural Polymers,2,1755607074
user_2,Biology,Unit 17 Inheritance,4,1755617460
user_2,ICT,Unit 8 Safety and Security,5,1755813373
user_2,Biology,Unit 2 Cells,2,1755414186
user_2,Business,"Chapter 10 Marketing, Competition and the Customer",2,1755269895
user_2,Biology,Unit 15 Drugs,4,1755217516
user_2,Biology,Unit 13 Excretion,5,1755768802
user_2,Business,Chapter 24 Balance Sheets,4,1755358772
user_2,Biology,Unit 8 Plant Transport,5,1755623687
user_2,Chemistry,Unit 9 Chemical Reactions,4,1755210307
user_2,Biology,Unit 9 Transport in humans,1,1755185448
user_2,Business,Chapter 23 Income Statements,2,1755523993
user_2,Business,"Chapter 8 Recruitment, Selection and Training",1,1755916806
user_2,Chemistry,Unit 1 Particles and Purification,1,1755077518
user_2,Business,Chapter 14 The Marketing Mix,5,1755286710
user_2,Biology,Unit 10 Diseases and Immunity,3,1755788100
user_3,Chemistry,Unit 14 Metal Extraction,3,1755878476
user_3,Business,"Chapter 3 Enterprise, Business Growth and Size",3,1755712971
user_3,Chemistry,Unit 17 Organic chemistry and petrochemicals,2,1755067256
user_3,ICT,Unit 5 The effects of using ICT,3,1756023349
user_3,Biology,Unit 21 Human Influences on Ecosystems,1,1755507439
user_3,Biology,Unit 5 Enzymes,4,1755087167
user_3,Business,"Chapter 18 Costs, Scale of Production and Break-even",5,1755375482
user_3,Business,Chapter 13 The Marketing Mix,3,1755267386
user_3,Business,"Chapter 8 Recruitment, Selection and Training",2,1755715220
user_3,Biology,Unit 9 Transport in humans,1,1755418168
user_3,Business,Chapter 14 The Marketing Mix,5,1755474301
user_3,Business,Chapter 27 Environmental and Ethical Issues,2,1755444667
user_3,Chemistry,Unit 9 Chemical Reactions,4,1755355587
user_3,Business,Chapter 6 Motivating Workers,5,1755092873
user_3,Business,Chapter 11 Market Research,2,1755454630
user_4,Chemistry,Unit 17 Organic chemistry and petrochemicals,4,1755871212
user_4,Biology,Unit 9 Transport in humans,5,1755660452
user_4,Biology,Unit 2 Cells,3,1755350005
user_4,Biology,Unit 10 Diseases and Immunity,3,1755943640
user_4,Chemistry,"Unit 2 Atoms, Elements and Compounds",2,1756036520
user_4,Business,Chapter 1 Business Activity,1,1755501306
user_4,Chemistry,Unit 12 The Periodic Table,1,1755674407
user_4,ICT,Unit 5 The effects of using ICT,4,1755427444
user_4,Chemistry,Unit 14 Metal Extraction,4,1755164834
user_4,Business,Chapter 15 The Marketing Mix,4,1755323437
user_4,ICT,Unit 2 Input and Output Devices,5,1755960360
user_4,Chemistry,Unit 18 The Variety of Organic Chemicals,4,1755835693
user_4,Biology,Unit 12 Respiration,2,1755999989
user_4,Business,Chapter 2 Classification of Business,2,1755575520
user_4,Chemistry,Unit 9 Chemical Reactions,1,1755554324
user_5,Chemistry,Unit 9 Chemical Reactions,1,1755754531
user_5,Business,Chapter 26 Government economic objectives and policies,4,1755766011
user_5,ICT,Unit 7 Systems Analysis and Design,1,1755115007
user_5,Biology,Unit 6 Plant Nutrition,4,1755404706
user_5,Business,"Chapter 8 Recruitment, Selection and Training",3,1755625120
user_5,Chemistry,Unit 20 Natural Polymers,5,1755629648
user_5,Biology,Unit 15 Drugs,1,1756023880
user_5,Business,Chapter 9 Internal and External Communication,1,1755626453
user_5,Biology,Unit 10 Diseases and Immunity,4,1755319450
user_5,Biology,Unit 17 Inheritance,4,1755078547
user_5,Business,Chapter 13 The Marketing Mix,2,1755525643
user_5,Chemistry,Unit 15 Air and Water,1,1755620238
user_5,ICT,Unit 2 Input and Output Devices,5,1755189185
user_5,Chemistry,Unit 18 The Variety of Organic Chemicals,5,1755515139
user_5,Biology,Unit 11 Gas Exchange in Humans,1,1755624682
user_6,ICT,Unit 7 Systems Analysis and Design,4,1755883684
user_6,ICT,Unit 8 Safety and Security,4,1755336969
user_6,Biology,Unit 1 Characteristics and Classification of Living Organisms,2,1755785964
user_6,Business,"Chapter 3 Enterprise, Business Growth and Size",5,1755269496
user_6,ICT,Unit 5 The effects of using ICT,1,1755731070
user_6,Chemistry,Unit 1 Particles and Purification,2,1755340019
user_6,Biology,Unit 20 Microorganisms and biotechnology,2,1755076732
user_6,ICT,Unit 3 Storage Devices and Media,3,1755766005
user_6,Chemistry,Unit 8 Speed of Reaction,3,1755981810
