"input_user,input_topic,topic_name,content_score,cf_score,hybrid_score"
"user_1,Unit 8 Safety and Security,Unit 8 Safety and Security,1.0,4.0,2.5"
"user_1,Unit 8 Safety and Security,Unit 2 Input and Output Devices,0.07034371079869647,4.0,2.0351718553993483"
"user_1,Unit 8 Safety and Security,Unit 1 Types and Components of Computer Systems,0.06056281404205589,3.6666666666666665,1.8636147403543613"
"user_1,Unit 8 Safety and Security,Unit 5 The effects of using ICT,0.07034371079869647,2.857142857142857,1.463743283970777"
"user_1,Unit 8 Safety and Security,Unit 3 Storage Devices and Media,0.07034371079869647,2.8333333333333335,1.451838522066015"
"user_1,Chapter 16 Marketing Strategy,Chapter 15 The Marketing Mix,0.2230143760194255,4.333333333333333,2.2781738546763792"
"user_1,Chapter 16 Marketing Strategy,Chapter 14 The Marketing Mix,0.2230143760194255,4.25,2.2365071880097127"
"user_1,Chapter 16 Marketing Strategy,Chapter 25 Analysis of Accountants,0.026676604976866632,4.4,2.2133383024884337"
"user_1,Chapter 16 Marketing Strategy,Chapter 23 Income Statements,0.026676604976866632,4.0,2.0133383024884335"
"user_1,Chapter 16 Marketing Strategy,Chapter 16 Marketing Strategy,1.0000000000000002,3.0,2.0"
"user_1,Chapter 13 The Marketing Mix,Chapter 15 The Marketing Mix,0.5173325174313808,4.333333333333333,2.425332925382357"
"user_1,Chapter 13 The Marketing Mix,Chapter 14 The Marketing Mix,0.5173325174313808,4.25,2.3836662587156905"
"user_1,Chapter 13 The Marketing Mix,Chapter 25 Analysis of Accountants,0.02935304534528538,4.4,2.214676522672643"
"user_1,Chapter 13 The Marketing Mix,Chapter 23 Income Statements,0.02935304534528538,4.0,2.0146765226726426"
"user_1,Chapter 13 The Marketing Mix,Chapter 24 Balance Sheets,0.02935304534528538,3.6666666666666665,1.848009856005976"
"user_1,Unit 3 Movement in and out of cells,Unit 8 Plant Transport,0.049595237483824786,5.0,2.5247976187419123"
"user_1,Unit 3 Movement in and out of cells,Unit 7 Animal Nutrition,0.04651091277367086,5.0,2.5232554563868352"
"user_1,Unit 3 Movement in and out of cells,Unit 12 Respiration,0.04393863400529219,4.25,2.1469693170026463"
"user_1,Unit 3 Movement in and out of cells,Unit 20 Microorganisms and biotechnology,0.03612654209914584,4.25,2.1430632710495727"
"user_1,Unit 3 Movement in and out of cells,Unit 2 Cells,0.6804405287937481,3.25,1.9652202643968741"
"user_1,Chapter 23 Income Statements,Chapter 23 Income Statements,1.0,4.0,2.5"
"user_1,Chapter 23 Income Statements,Chapter 25 Analysis of Accountants,0.024097485958656392,4.4,2.2120487429793285"
"user_1,Chapter 23 Income Statements,Chapter 15 The Marketing Mix,0.02935304534528538,4.333333333333333,2.181343189339309"
"user_1,Chapter 23 Income Statements,Chapter 14 The Marketing Mix,0.02935304534528538,4.25,2.1396765226726426"
"user_1,Chapter 23 Income Statements,Chapter 24 Balance Sheets,0.024097485958656392,3.6666666666666665,1.8453820763126614"
